"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,13.6001183324118,13.6001183324118
"A2",NA,14.5375830207103,14.5375830207103
"A3",NA,14.1878855811733,14.1878855811733
"A4",NA,15.0512369586666,15.0512369586666
"A5",NA,10.6809009378694,10.6809009378694
"A6",NA,14.5551622054358,14.5551622054358
"A7",NA,12.6329609425623,12.6329609425623
"A8",NA,1.57068815550537,1.57068815550537
"A9",NA,1.36798980100664,1.36798980100664
"A10",NA,36.1704464400222,36.1704464400222
"A11",NA,36.1184233367045,36.1184233367045
"A12",NA,1.25791396215831,1.25791396215831
"B1",NA,16.9847182564087,16.9847182564087
"B2",NA,17.1871570146685,17.1871570146685
"B3",NA,17.0713628141557,17.0713628141557
"B4",NA,12.06267987226,12.06267987226
"B5",NA,13.0072672782207,13.0072672782207
"B6",NA,14.6801349776762,14.6801349776762
"B7",NA,15.2596532794008,15.2596532794008
"B8",NA,15.6810614651234,15.6810614651234
"B9",NA,11.8555546044578,11.8555546044578
"B10",NA,1.29573276282177,1.29573276282177
"B11",NA,NA,NA
"B12",NA,1.28103638950123,1.28103638950123
"C1",NA,23.5612183066124,23.5612183066124
"C2",NA,23.5936509581464,23.5936509581464
"C3",NA,24.5942651512014,24.5942651512014
"C4",NA,5.41900695677827,5.41900695677827
"C5",NA,15.818831409621,15.818831409621
"C6",NA,15.0666084058948,15.0666084058948
"C7",NA,10.3631259908622,10.3631259908622
"C8",NA,7.98083925847452,7.98083925847452
"C9",NA,7.343938648171,7.343938648171
"C10",NA,14.6166820756825,14.6166820756825
"C11",NA,14.7231896416187,14.7231896416187
"C12",NA,12.7966403776353,12.7966403776353
"D1",NA,24.8808717927124,24.8808717927124
"D2",NA,25.975196371862,25.975196371862
"D3",NA,26.1969315093052,26.1969315093052
"D4",NA,7.63798412671961,7.63798412671961
"D5",NA,12.8193229406959,12.8193229406959
"D6",NA,12.1762311963492,12.1762311963492
"D7",NA,6.60317752204316,6.60317752204316
"D8",NA,32.2890501310506,32.2890501310506
"D9",NA,10.5656983780098,10.5656983780098
"D10",NA,14.982019061889,14.982019061889
"D11",NA,15.6003716272296,15.6003716272296
"D12",NA,7.26370872668457,7.26370872668457
"E1",NA,27.8281297638321,27.8281297638321
"E2",NA,27.749575927339,27.749575927339
"E3",NA,27.8726752382538,27.8726752382538
"E4",NA,14.04742855724,14.04742855724
"E5",NA,4.5353952417159,4.5353952417159
"E6",NA,14.0724944168372,14.0724944168372
"E7",NA,15.153142013527,15.153142013527
"E8",NA,14.5113294164852,14.5113294164852
"E9",NA,13.5868525054528,13.5868525054528
"E10",NA,1.24914679643756,1.24914679643756
"E11",NA,1.26345548030846,1.26345548030846
"E12",NA,1.27444534115414,1.27444534115414
"F1",NA,19.2178042974774,19.2178042974774
"F2",NA,3.82191686820947,3.82191686820947
"F3",NA,28.8960008418212,28.8960008418212
"F4",NA,12.2312226197438,12.2312226197438
"F5",NA,15.1094190860792,15.1094190860792
"F6",NA,15.524595614361,15.524595614361
"F7",NA,14.3444492153871,14.3444492153871
"F8",NA,15.0786726541779,15.0786726541779
"F9",NA,15.6181644646944,15.6181644646944
"F10",NA,18.0312661095094,18.0312661095094
"F11",NA,18.0887504294158,18.0887504294158
"F12",NA,17.1454295256996,17.1454295256996
"G1",NA,1.25788187162879,1.25788187162879
"G2",NA,1.32259678958152,1.32259678958152
"G3",NA,1.48607729416136,1.48607729416136
"G4",NA,8.39283153505599,8.39283153505599
"G5",NA,13.5930299327153,13.5930299327153
"G6",NA,10.8929618785603,10.8929618785603
"G7",NA,13.8985236188789,13.8985236188789
"G8",NA,14.2339956285932,14.2339956285932
"G9",NA,14.8019282433851,14.8019282433851
"G10",NA,17.6735247530175,17.6735247530175
"G11",NA,18.0859735924294,18.0859735924294
"G12",NA,17.2916502025662,17.2916502025662
"H1",NA,36.7537218906643,36.7537218906643
"H2",NA,36.2167514023002,36.2167514023002
"H3",NA,29.4519962194611,29.4519962194611
"H4",NA,13.0921258937429,13.0921258937429
"H5",NA,10.6863269859669,10.6863269859669
"H6",NA,11.1452500958365,11.1452500958365
"H7",NA,15.2838040774226,15.2838040774226
"H8",NA,14.5732877941917,14.5732877941917
"H9",NA,15.3780956883076,15.3780956883076
"H10",NA,15.6493444034681,15.6493444034681
"H11",NA,16.1657751130553,16.1657751130553
"H12",NA,16.1570935392001,16.1570935392001
